index_id,"Toxicity to environmental bacteria (EPA Microtox test), -log10 of Conc.(mg/kg)",SMILES
340,3.634796379,OC(=O)c1ccc(Cl)cc1
341,3.633420237,FC(F)(F)c1cccc(c1)C#N
342,3.632052167,Cc1ccc(N)c(c1)N(=O)=O
343,3.630128,O=N(=O)c1ccc(CC#N)cc1
344,3.626713154,Cc1cc(c(O)c(c1)N(=O)=O)N(=O)=O
345,3.624086227,COc1ccc(O)cc1
346,3.623472635,COC(=O)c1ccccc1
347,3.622362477,OC(=O)Cc1ccc(O)cc1
348,3.621547716,FC(F)(F)C(=O)Oc1ccc(cc1)N(=O)=O
349,3.620695683,CN(C)c1ccc(cc1)N(=O)=O
350,3.620664336,NC(=S)c1ccncc1
351,3.620434865,OC(=O)c1ccc(O)cc1
352,3.62017611,CC(=O)OCc1ccc(cc1)N(=O)=O
353,3.619409572,OCC(CO)(CO)N(=O)=O
354,3.618309143,Oc1ccc(Br)cc1N(=O)=O
355,3.616824446,Nc1ccc(CCc2ccc(N)cc2)cc1
356,3.609811587,Brc1ccc(cc1)C#N
357,3.609353512,Cc1ccc(cc1)C#N
358,3.602967977,Clc1ccc(cc1Cl)N(=O)=O
359,3.602875434,FC(F)(F)c1ccc(cc1)C#N
360,3.602496923,Cc1ccc(N)cc1N(=O)=O
361,3.597121281,OCc1ccc(c(c1)N(=O)=O)N(=O)=O
362,3.59661367,CCc1cnc2ccccc2c1
363,3.594941964,COc1ccc(CCl)cc1
364,3.592527822,NC(=S)Nc1ccccc1
365,3.584244474,c1ccc2cnncc2c1
366,3.58238603,COC(=O)c1ccc(O)cc1
367,3.579568176,NC(C(O)=O)c1ccccc1
368,3.574902295,COc1ccc(CC(C)=O)cc1
369,3.571290092,Oc1c(Br)cccc1Br
370,3.568158059,OC(=O)CNCP(O)(O)=O
371,3.548716816,CC(=O)c1ccc(Cl)cc1
372,3.546189219,Cc1ccc2cccnc2c1C
373,3.542996855,NNC(=S)Nc1ccccc1
374,3.537731713,CCC(=O)c1ccccc1
375,3.533055631,O=CNc1ccccc1
376,3.530487198,CCOc1ccc(OCC)cc1
377,3.524707612,Oc1ccc(cc1N(=O)=O)N(=O)=O
378,3.520866574,O=N(=O)C1CCCC1
379,3.51750529,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
380,3.512436075,Cc1ccc(Cl)cc1
381,3.510776131,ClC(Cl)(Cl)c1ccccc1
382,3.506357571,CCC(=O)c1ccc(O)cc1
383,3.50493319,CCC(=O)C=C
384,3.502078232,Oc1cc(Cl)ccc1Cl
385,3.499943793,Cc1ccc(C=O)cc1
386,3.498363301,COC(=O)c1cccc(c1)N(=O)=O
387,3.49794537,CN(C)c1ccc(CCO)cc1
388,3.497109494,CCSC(=O)N(CC(C)C)CC(C)C
389,3.491208171,COC(=O)c1ccc(cc1)C(C)=O
390,3.486981955,Fc1ccc(C=C)cc1
391,3.479613523,COc1ccc(cc1)C(N)=O
392,3.476777266,COc1ccc(cc1)C(N)=N
393,3.466326761,FC(F)(F)c1ccc(Cl)cc1
394,3.465920537,O=N(=O)c1ccccc1N(=O)=O
395,3.465260325,Brc1ccc(cc1)N(=O)=O
396,3.463497533,CC(C)c1cnc2ccccc2c1
397,3.460600601,COc1cc(N)c(cc1OC)C#N
398,3.459939922,Nc1ccccc1N(=O)=O
399,3.454798175,CCCCCCCCO
400,3.454690687,Cc1cc(c(N)c(c1)N(=O)=O)N(=O)=O
401,3.453822462,Cc1ccc(C)c(O)c1C
402,3.45354407,CC(C)(Cl)CCl
403,3.453461042,COc1ccc(OC#N)cc1
404,3.45302746,COc1ccc(C)cc1N(=O)=O
405,3.449426098,N1c2ccccc2Sc3ccccc13
406,3.446472472,CCOc1ccccc1
407,3.443600719,OCc1ccc(O)cc1
408,3.439450653,Nc1cc(Cl)cc(Cl)c1
409,3.439187474,O=S(=O)(c1ccccc1)c2ccccc2
410,3.437379795,O=C(C#N)c1ccccc1
411,3.436646386,OCCc1ccccc1
412,3.432401953,FC(F)(F)S(=O)(=O)N(c1ccccc1)S(=O)(=O)C(F)(F)F
413,3.426867109,COc1ccc(cc1)C(C)=O
414,3.426296904,Clc1ccc(cc1N(=O)=O)N(=O)=O
415,3.424226832,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
416,3.420521703,Oc1ccc(cc1O)N(=O)=O
417,3.41626017,Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O
418,3.415868588,COc1cc2OC3OC=CC3c2c4OC(=O)C5C(=O)OCCC=5c14
419,3.410849509,Cc1ccc(CCN)cc1
420,3.409347445,NC(=O)NNc1ccccc1
421,3.408721321,Clc1cc(Cl)cc(Cl)c1
422,3.406211578,Cc1ccc2ccc(C)nc2c1
423,3.405891021,Oc1ccc(cc1F)N(=O)=O
424,3.403158455,O=C=NS(=O)(=O)c1ccccc1
425,3.402317291,[H][n]1cnc2cc(ccc21)N(=O)=O
426,3.399584436,C#Cc1ccccc1
427,3.396601384,Oc1ccc(C=O)cc1
428,3.385546384,Oc1ccc(cc1CBr)N(=O)=O
429,3.383978481,COc1ccc(cc1)C#N
430,3.37970897,CCc1ccncc1
431,3.378666061,NNS(=O)(=O)c1ccc(Br)cc1
432,3.372036584,CC(=O)c1cc(O)ccc1O
433,3.370865177,OC(=O)c1ccc(Oc2ccccc2)cc1
434,3.37063424,COc1ccc(C=CC(O)=O)cc1
435,3.370244202,Fc1ccc(cc1)C(Cl)=O
436,3.36809459,COC(=O)c1ccccc1C(=O)OC
437,3.365624492,Cc1cccc2cccnc12
438,3.357968659,COC(=O)c1ccc(F)cc1
439,3.356981401,CC1OC=C2C(O)=C(C(O)=O)C(=O)C(C)=C2C1C
440,3.354970233,Nc1ccc(cc1)C(=O)c2ccccc2
441,3.351915885,FC(F)(F)c1cc(cc(c1)N(=O)=O)N(=O)=O
442,3.351349307,FC(F)(F)c1ccc(cc1)N(=O)=O
443,3.337749128,CNc1ccc(F)cc1
444,3.32773882,Oc1nc(Cl)c(Cl)cc1Cl
445,3.327268019,OC(=O)c1ccc(cc1)c2ccccc2
446,3.326413334,OCCc1ccc(F)cc1
447,3.323925457,Cc1cc(C)c(C)c(O)c1
448,3.323522282,CCc1cccc2ccc(C)nc12
449,3.321461249,CCOC(=O)c1ccc(cc1)N=C=O
450,3.318243435,OC(=O)Cc1ccc(cc1)c2ccccc2
451,3.31640572,Nc1c(Cl)cc(cc1N(=O)=O)N(=O)=O
452,3.315341006,Oc1ccc(cc1N(=O)=O)C#N
453,3.313174299,[H][n]1c2ccccc2c3ccccc31
454,3.297508311,C=Cc1ccccc1
455,3.295452739,Oc1c(Cl)ccc(Cl)c1Cl
456,3.294335274,OCc1ccc(Cl)cc1
457,3.290362922,CC(=O)CC(c1ccccc1)C2C(=O)Oc3ccccc3C=2O
458,3.289463097,O=Cc1ccc(cc1)N(=O)=O
459,3.288897648,Oc1ccc(Cl)cc1
460,3.288150989,Clc1ccc(C=O)cc1
